========== Sender Phase3: 扁平化PIR数据库 (子桶为行) ==========
数据库组织: 每个子桶是一个独立的行
行索引 = main_idx * nh + sub_idx
总行数 = 384 × 3 = 1152
每行大小 = 35 slots

行[0] = (主桶0, 子桶0): 24 个非空slot
行[1060] = (主桶353, 子桶1): 10 个非空slot
行[1061] = (主桶353, 子桶2): 0 个非空slot
行[1062] = (主桶354, 子桶0): 18 个非空slot
行[1063] = (主桶354, 子桶1): 8 个非空slot
行[1064] = (主桶354, 子桶2): 2 个非空slot
行[1065] = (主桶355, 子桶0): 21 个非空slot
行[1066] = (主桶355, 子桶1): 8 个非空slot
行[1067] = (主桶355, 子桶2): 1 个非空slot
行[1068] = (主桶356, 子桶0): 20 个非空slot
行[1069] = (主桶356, 子桶1): 12 个非空slot
行[1070] = (主桶356, 子桶2): 5 个非空slot
行[1071] = (主桶357, 子桶0): 19 个非空slot
行[1072] = (主桶357, 子桶1): 6 个非空slot
行[1073] = (主桶357, 子桶2): 1 个非空slot
行[1074] = (主桶358, 子桶0): 27 个非空slot
行[1075] = (主桶358, 子桶1): 15 个非空slot
行[1076] = (主桶358, 子桶2): 2 个非空slot
行[1077] = (主桶359, 子桶0): 23 个非空slot
行[1078] = (主桶359, 子桶1): 11 个非空slot
行[1079] = (主桶359, 子桶2): 1 个非空slot
行[1080] = (主桶360, 子桶0): 17 个非空slot
行[1081] = (主桶360, 子桶1): 9 个非空slot
行[1082] = (主桶360, 子桶2): 0 个非空slot
行[1083] = (主桶361, 子桶0): 17 个非空slot
行[1084] = (主桶361, 子桶1): 8 个非空slot
行[1085] = (主桶361, 子桶2): 0 个非空slot
行[1086] = (主桶362, 子桶0): 24 个非空slot
行[1087] = (主桶362, 子桶1): 14 个非空slot
行[1088] = (主桶362, 子桶2): 5 个非空slot
行[1089] = (主桶363, 子桶0): 20 个非空slot
行[1090] = (主桶363, 子桶1): 9 个非空slot
行[1091] = (主桶363, 子桶2): 0 个非空slot
行[1092] = (主桶364, 子桶0): 24 个非空slot
行[1093] = (主桶364, 子桶1): 16 个非空slot
行[1094] = (主桶364, 子桶2): 6 个非空slot
行[1095] = (主桶365, 子桶0): 17 个非空slot
行[1096] = (主桶365, 子桶1): 8 个非空slot
行[1097] = (主桶365, 子桶2): 4 个非空slot
行[1098] = (主桶366, 子桶0): 22 个非空slot
行[1099] = (主桶366, 子桶1): 11 个非空slot
行[1100] = (主桶366, 子桶2): 2 个非空slot
行[1101] = (主桶367, 子桶0): 25 个非空slot
行[1102] = (主桶367, 子桶1): 9 个非空slot
行[1103] = (主桶367, 子桶2): 2 个非空slot
行[1104] = (主桶368, 子桶0): 21 个非空slot
行[1105] = (主桶368, 子桶1): 10 个非空slot
行[1106] = (主桶368, 子桶2): 3 个非空slot
行[1107] = (主桶369, 子桶0): 15 个非空slot
行[1108] = (主桶369, 子桶1): 5 个非空slot
行[1109] = (主桶369, 子桶2): 1 个非空slot
行[1110] = (主桶370, 子桶0): 21 个非空slot
行[1111] = (主桶370, 子桶1): 12 个非空slot
行[1112] = (主桶370, 子桶2): 2 个非空slot
行[1113] = (主桶371, 子桶0): 21 个非空slot
行[1114] = (主桶371, 子桶1): 6 个非空slot
行[1115] = (主桶371, 子桶2): 1 个非空slot
行[1116] = (主桶372, 子桶0): 19 个非空slot
行[1117] = (主桶372, 子桶1): 8 个非空slot
行[1118] = (主桶372, 子桶2): 1 个非空slot
行[1119] = (主桶373, 子桶0): 24 个非空slot
行[1120] = (主桶373, 子桶1): 15 个非空slot
行[1121] = (主桶373, 子桶2): 4 个非空slot
行[1122] = (主桶374, 子桶0): 18 个非空slot
行[1123] = (主桶374, 子桶1): 12 个非空slot
行[1124] = (主桶374, 子桶2): 1 个非空slot
行[1125] = (主桶375, 子桶0): 24 个非空slot
行[1126] = (主桶375, 子桶1): 16 个非空slot
行[1127] = (主桶375, 子桶2): 2 个非空slot
行[1128] = (主桶376, 子桶0): 20 个非空slot
行[1129] = (主桶376, 子桶1): 6 个非空slot
行[1130] = (主桶376, 子桶2): 3 个非空slot
行[1131] = (主桶377, 子桶0): 26 个非空slot
行[1132] = (主桶377, 子桶1): 13 个非空slot
行[1133] = (主桶377, 子桶2): 3 个非空slot
行[1134] = (主桶378, 子桶0): 23 个非空slot
行[1135] = (主桶378, 子桶1): 13 个非空slot
行[1136] = (主桶378, 子桶2): 2 个非空slot
行[1137] = (主桶379, 子桶0): 18 个非空slot
行[1138] = (主桶379, 子桶1): 9 个非空slot
行[1139] = (主桶379, 子桶2): 1 个非空slot
行[1140] = (主桶380, 子桶0): 23 个非空slot
行[1141] = (主桶380, 子桶1): 9 个非空slot
行[1142] = (主桶380, 子桶2): 3 个非空slot
行[1143] = (主桶381, 子桶0): 17 个非空slot
行[1144] = (主桶381, 子桶1): 9 个非空slot
行[1145] = (主桶381, 子桶2): 1 个非空slot
行[1146] = (主桶382, 子桶0): 21 个非空slot
行[1147] = (主桶382, 子桶1): 7 个非空slot
行[1148] = (主桶382, 子桶2): 1 个非空slot
行[1149] = (主桶383, 子桶0): 23 个非空slot
行[1150] = (主桶383, 子桶1): 16 个非空slot
行[1151] = (主桶383, 子桶2): 0 个非空slot

总计: 40320 个slots, 12253 个非空
